arxiv_id,title,year,primary_category,label,evidence,checked
2607.11273v1,Fixed-Protocol Amortized MPS Tomography with Conformalized Predictive Uncertainty,2026,quant-ph,,,
2607.10008v1,Manifold Constrained Conformal Prediction for Spatial Events,2026,stat.ML,,,
2607.08084v1,ConRad: Efficient Conformal Prediction for Radiomics,2026,eess.IV,,,
2607.06690v1,tsbootstrap: Distribution-Free Uncertainty Quantification and Conformal Prediction for Time Series,2026,stat.ME,,,
2607.06605v1,"A Quiet Failure in Calibrated Virtual Screening: Marginal Conformal Prediction Under-Covers the Minority Class, and a Class-Conditional Fix Recovers It",2026,cs.LG,,,
2607.04236v2,Robust Bayes-Assisted Conformal Prediction,2026,stat.ML,,,
2607.02722v1,Weighted Conformal Prediction for Lab-to-Track Thermal Transfer in EV Motorsport Powertrains,2026,cs.LG,,,
2607.02206v1,"Prediction Sets for Counterfactual Decisions: Coverage, Optimality, and Conformal Prediction",2026,stat.ML,,,
2607.02124v1,Predictive Conformal Slip Monitoring: An Empirical Evaluation of Rolling Split Conformal Prediction for Pre-Incident Traction Loss Detection,2026,cs.LG,,,
2607.01354v1,Local Conformal Predictions for Calibrated Surrogates,2026,hep-ph,,,
2606.31915v1,Accelerating Conformal Prediction via Approximate Leave-One-Out,2026,stat.ML,,,
2606.31607v1,Uncertainty Quantification via Invariant-Measure Conformal Prediction,2026,eess.SY,,,
2606.31600v1,On Optimal Data Splitting for Split Conformal Prediction,2026,math.ST,,,
2606.31577v1,Localized Conformal Prediction for Image Classification with Vision-Language Models,2026,cs.CV,,,
2606.29403v1,Self-Organized Conformal Prediction: Reducing Regional Coverage Gaps with Unsupervised Group Discovery,2026,stat.ML,,,
2606.28730v1,Full Conformal Prediction under Stochastic Non-Conformity Measure,2026,math.ST,,,
2606.28598v1,Conformal Prediction with Macro-Coverage Guarantees,2026,stat.ME,,,
2606.27001v1,Uncertainty quantification via conformal prediction in data assimilation,2026,cs.LG,,,
2606.24959v1,Reliable Conformal Prediction for Ordinal Classification Using the Ranked Probability Score,2026,cs.LG,,,
2606.19642v1,Rigorous uncertainty quantification of probabilistic AI weather forecasts with conformal prediction,2026,physics.ao-ph,,,
2606.18199v1,Conformal Prediction Intervals with Tail-Specific Guarantees,2026,math.ST,,,
2606.16356v1,Simulation-Augmented Multi-Step Split Conformal Prediction for Aggregated Forecasts,2026,cs.LG,,,
2606.15953v2,Drift-Aware Spectral Conformal Prediction for Non-Exchangeable Streaming Data,2026,stat.ME,,,
2606.15950v2,Spectral Adaptive Conformal Prediction for Structured Non-Exchangeable Data,2026,stat.ML,,,
2606.14909v1,Audited Conformal Prediction for Classification under Unknown Distribution Shift,2026,stat.ML,,,
2607.24773v1,Right-sizing Recommendations (RSR): Cloud Workload Conformal Prediction for Virtual Machines in Data Center Operations,2026,cs.AI,,,
2606.12501v1,Policy-driven Conformal Prediction for Trustworthy QoT Estimation,2026,cs.LG,,,
2606.11136v2,Conformal Prediction for Dyadic Regression Under Complex Missingness,2026,math.ST,,,
2606.11044v1,Generalized Conformal Predictive Systems Under Distributional Shifts,2026,stat.ML,,,
2606.10563v1,Predicting Current Outcomes From Historical Survey Data With Weighted Conformal Prediction,2026,stat.ME,,,
2606.08654v1,Operator learning for the 2D incompressible Navier-Stokes equations: a conformal prediction approach in the data-scarce regime,2026,cs.LG,,,
2606.08551v1,Enhanced localized conformal prediction with imperfect auxiliary information,2026,stat.ME,,,
2606.09923v1,Conformal Prediction for Neural Operators: Distribution-Free Uncertainty Quantification in Physics Simulation,2026,cs.LG,,,
2608.07479v1,Marginally Useful: Formalizing the Information Gap in Conformal Prediction,2026,q-fin.ST,,,
2606.02911v2,The Ghost Annotator: a Framework to Explore Human Label Variation in Content Moderation through Conformal Prediction,2026,cs.CL,,,
2606.01850v1,Does Compression Preserve Uncertainty? A Unified Benchmark for Quantized and Sparse LLMs via Conformal Prediction,2026,cs.AI,,,
2606.00717v1,Multi-Agent Conformal Prediction with Personalized Statistical Validity,2026,cs.LG,,,
2606.00690v1,DistMatch: Adaptive Binning via Distribution Matching for Robust Sequential Conformal Prediction,2026,cs.LG,,,
2606.00419v4,Parameter-Free and Group Conditional Online Conformal Prediction,2026,stat.ML,,,
2605.29296v1,Conformal prediction for functional time series: Application to age-specific mortality rates,2026,stat.AP,,,
2605.29200v5,Approximating full conformal prediction: distribution free guarantees via the tournament correction,2026,stat.ME,,,
2605.26569v1,Distribution-Aware Conformal Prediction: A Framework for generating efficient prediction intervals for time series,2026,cs.LG,,,
2605.25852v3,A Post-Processing Conformal Prediction Approach for Conditional Coverage via Pivotal Scores,2026,stat.ME,,,
2605.24983v1,Benchmarking non-conformity score functions in conformal prediction,2026,cs.LG,,,
2605.24872v1,Cluster Frequency Conformal Prediction for Local Coverage,2026,cs.LG,,,
2605.24848v1,Distributional Conformal Prediction for Markov Processes,2026,stat.ME,,,
2605.23189v1,Empirical Bayes Conformal Prediction for Vision and Language Models,2026,cs.LG,,,
2605.22004v1,Selecting Informative Conformal Prediction Sets with an Optimized FCR-Controlled Approach,2026,stat.ME,,,
2605.20515v1,Online Conformal Prediction with Corrupted Feedback,2026,cs.LG,,,
2605.20468v2,CASCADE Conformal Prediction: Uncertainty-Adaptive Prediction Intervals for Two-Stage Clinical Decision Support,2026,cs.LG,,,
2605.19024v1,Conformal Prediction via Transported Beta Laws,2026,stat.ML,,,
2605.19014v1,SAGA: A Sequence-Adaptive Generative Architecture for Multi-Horizon Probabilistic Forecasting with Adaptive Temporal Conformal Prediction,2026,cs.LG,,,
2605.18655v1,Self-Supervised Conformal Prediction with Equivariant Bootstrapping for Image Uncertainty Quantification,2026,stat.ME,,,
2605.17705v1,Online Conformal Prediction for Non-Exchangeable Panel Data,2026,stat.ML,,,
2605.16145v1,Skew-adaptive conformal prediction,2026,stat.ML,,,
2605.14260v2,On the Burden of Achieving Fairness in Conformal Prediction,2026,stat.ML,,,
2605.12917v1,Adaptive Conformal Prediction for Reliable and Explainable Medical Image Classification,2026,cs.CV,,,
2605.12668v1,Online Conformal Prediction: Enforcing monotonicity via Online Optimization,2026,stat.ML,,,
2605.12341v1,Multi-Variable Conformal Prediction: Optimizing Prediction Sets without Data Splitting,2026,stat.ML,,,
2605.18812v1,PASC: Pipeline-Aware Conformal Prediction with Joint Coverage Guarantees for Multi-Stage NLP and LLM Pipelines,2026,cs.LG,,,
2605.11684v1,Partial Model Sharing Improves Byzantine Resilience in Federated Conformal Prediction,2026,cs.LG,,,
2605.11602v3,A Unified Theory of Conditional Coverage in Conformal Prediction with Applications,2026,stat.ME,,,
2605.08857v1,RareCP: Regime-Aware Retrieval for Efficient Conformal Prediction,2026,cs.LG,,,
2605.08561v1,CONTRA: Conformal Prediction Region via Normalizing Flow Transformation,2026,stat.ML,,,
2605.08422v1,Rolling-Origin Conformal Prediction under Local Stationarity and Weak Dependence,2026,stat.ME,,,
2605.08074v1,GRAPHLCP: Structure-Aware Localized Conformal Prediction on Graphs,2026,cs.LG,,,
2605.07549v1,Probabilistic Object Detection with Conformal Prediction,2026,cs.CV,,,
2605.07100v1,TRACE: Transport Alignment Conformal Prediction via Diffusion and Flow Matching Models,2026,stat.ML,,,
2605.06581v1,History-Aware Conformal Prediction Sets for Censored Time-to-Event Outcomes,2026,stat.ME,,,
2605.06204v1,When Does Trimming Help Conformal Prediction? A Retained-Law Diagnostic under Calibration Contamination,2026,stat.ML,,,
2605.05770v1,Confidence is the key: how conformal prediction enhances the generative design of permeable peptides,2026,cs.AI,,,
2605.05497v2,Online Localized Conformal Prediction,2026,cs.LG,,,
2605.04957v1,Delving into Non-Exchangeability for Conformal Prediction in Graph-Structured Multivariate Time Series,2026,cs.LG,,,
2605.03820v1,Multimodal Learning on Low-Quality Data with Conformal Predictive Self-Calibration,2026,cs.CV,,,
2605.16327v1,Differentiable Optimization Layered Safety-Critical Control for Risk-Aware Navigation via Conformal Prediction,2026,eess.SY,,,
2605.02486v1,Reliable Narrowband Interference Detection via Backward Conformal Prediction,2026,eess.SP,,,
2605.01868v1,Robust Conditional Conformal Prediction via Branched Normalizing Flow,2026,cs.LG,,,
2605.01452v1,Stable Localized Conformal Prediction via Transduction,2026,stat.ME,,,
2605.00432v3,Optimal Spatio-Temporal Decoupling for Bayesian Conformal Prediction,2026,cs.LG,,,
2605.00233v1,Adaptive Geodesic Conformal Prediction for Egocentric Camera Pose Estimation,2026,cs.CV,,,
2604.25202v2,Geometry of tail allocation in conformal prediction intervals,2026,stat.ME,,,
2604.25139v1,Conflict Forecasting via Conformal Prediction for Markov Processes,2026,stat.ME,,,
2604.21595v1,A Kernel Nonconformity Score for Multivariate Conformal Prediction,2026,stat.ML,,,
2604.21039v1,Conformal prediction for uncertainties in the neutron star equation of state,2026,nucl-th,,,
2604.17984v1,Online Conformal Prediction with Adversarial Semi-bandit Feedback via Regret Minimization,2026,cs.LG,,,
2604.16217v1,Beyond Surface Statistics: Robust Conformal Prediction for LLMs via Internal Representations,2026,cs.CL,,,
2604.15302v1,Diagnosing LLM Judge Reliability: Conformal Prediction Sets and Transitivity Violations,2026,cs.AI,,,
2604.15229v1,"On a Probability Inequality for Order Statistics with Applications to Bootstrap, Conformal Prediction, and more",2026,math.ST,,,
2604.14621v2,Differentially Private Conformal Prediction,2026,stat.ML,,,
2604.13991v1,Adaptive Conformal Prediction for Improving Factuality of Generations by Large Language Models,2026,cs.CL,,,
2604.08885v1,Uncertainty-Aware Transformers: Conformal Prediction for Language Models,2026,cs.LG,,,
2604.07325v1,Conformal Prediction with Time-Series Data via Sequential Conformalized Density Regions,2026,stat.ME,,,
2604.06464v3,Weighted Bayesian Conformal Prediction,2026,cs.LG,,,
2604.06058v1,Staggered Integral Online Conformal Prediction for Safe Dynamics Adaptation with Multi-Step Coverage Guarantees,2026,eess.SY,,,
2604.03772v1,Debiased Machine Learning for Conformal Prediction of Counterfactual Outcomes Under Runtime Confounding,2026,stat.ML,,,
2603.27699v1,Calibrated Conformal Prediction Intervals for Microphysical Process Rates,2026,physics.ao-ph,,,
2603.27189v2,Conformal Prediction Assessment: A Framework for Conditional Coverage Evaluation and Selection,2026,stat.ME,,,
2603.26415v1,KMM-CP: Practical Conformal Prediction under Covariate Shift via Selective Kernel Mean Matching,2026,cs.LG,,,
2603.25509v1,Conformal Prediction for Nonparametric Instrumental Regression,2026,econ.EM,,,
2603.23923v1,Elements of Conformal Prediction for Statisticians,2026,stat.ME,,,
2603.23374v2,Shape-Adaptive Conditional Calibration for Conformal Prediction via Minimax Optimization,2026,stat.ME,,,
2603.20000v1,Monte Carlo conformal prediction for quantifying uncertainty in radio galaxy classification under ambiguous ground truth,2026,astro-ph.IM,,,
2603.19396v1,Bridging Conformal Prediction and Scenario Optimization: Discarded Constraints and Modular Risk Allocation,2026,eess.SY,,,
2603.14198v3,Efficient Federated Conformal Prediction with Group-Conditional Guarantee,2026,cs.LG,,,
2603.10674v1,Conformal prediction for high-dimensional functional time series: Applications to subnational mortality,2026,stat.ME,,,
2603.07522v1,Beyond Data Splitting: Full-Data Conformal Prediction by Differential Privacy,2026,stat.ML,,,
2603.01981v1,Quantifying Uncertainty in Void Swelling Prediction: A Conformal Prediction Framework for Reactor Safety Margins,2026,stat.AP,,,
2603.01719v1,Co-optimization for Adaptive Conformal Prediction,2026,stat.ML,,,
2603.00924v2,Conformal Prediction for Risk-Controlled Medical Entity Extraction Across Clinical Domains,2026,cs.CL,,,
2602.22432v2,LoBoost: Fast Model-Native Local Conformal Prediction for Gradient-Boosted Trees,2026,stat.ML,,,
2602.19790v2,Drift Localization using Conformal Predictions,2026,cs.LG,,,
2602.19363v2,Certified Uncertainty for Surrogate Models of Neutron Star Equations of State via Mondrian Conformal Prediction,2026,astro-ph.HE,,,
2602.18396v2,Communication-Efficient Byzantine-Robust Federated Conformal Prediction via Partial Model Sharing,2026,cs.LG,,,
2602.16794v2,Beyond Procedure: Substantive Fairness in Conformal Prediction,2026,stat.ML,,,
2602.16537v2,Optimal training-conditional regret for online conformal prediction,2026,math.ST,,,
2602.16015v2,Geometry-Aware Uncertainty Quantification via Conformal Prediction on Manifolds,2026,cs.LG,,,
2602.14913v3,Coverage Guarantees for Pseudo-Calibrated Conformal Prediction under Distribution Shift,2026,cs.LG,,,
2602.12825v1,Reliable Hierarchical Operating System Fingerprinting via Conformal Prediction,2026,cs.CR,,,
2602.12693v1,Leverage-Weighted Conformal Prediction,2026,cs.LG,,,
2602.12616v1,When Environments Shift: Safe Planning with Generative Priors and Robust Conformal Prediction,2026,eess.SY,,,
2602.10045v2,Conformal Prediction Sets for Instance Segmentation,2026,cs.CV,,,
2602.10018v1,Online Selective Conformal Prediction with Asymmetric Rules: A Permutation Test Approach,2026,stat.ME,,,
2602.07633v3,Flow-Based Conformal Predictive Distributions,2026,stat.ML,,,
2602.06038v1,CommCP: Efficient Multi-Agent Coordination via LLM-Based Communication with Conformal Prediction,2026,cs.RO,,,
2602.04821v1,Safe Urban Traffic Control via Uncertainty-Aware Conformal Prediction and World-Model Reinforcement Learning,2026,cs.LG,,,
2602.03986v2,eCP: Equivariant Conformal Prediction with pre-trained models,2026,cs.LG,,,
2602.03787v1,Inference-time Unlearning Using Conformal Prediction,2026,cs.LG,,,
2602.03910v1,CONRep: Uncertainty-Aware Vision-Language Report Drafting Using Conformal Prediction,2026,eess.IV,,,
2602.03331v2,Bayesian Conformal Prediction as a Decision Risk Problem,2026,cs.LG,,,
2602.03168v1,Online Conformal Prediction via Universal Portfolio Algorithms,2026,stat.ML,,,
2602.01733v3,Improving Backward Conformal Prediction via Non-Conformity Score Transformation,2026,stat.ML,,,
2602.01667v1,Quantifying Epistemic Predictive Uncertainty in Conformal Prediction,2026,cs.LG,,,
2602.01629v2,AdaptNC: Adaptive Nonconformity Scores for Conformal Prediction under Distribution Shift,2026,cs.LG,,,
2602.01476v2,Conformal Prediction for Early Stopping in Mixed Integer Optimization,2026,math.OC,,,
2602.02583v1,Copula-Based Aggregation and Context-Aware Conformal Prediction for Reliable Renewable Energy Forecasting,2026,cs.LG,,,
2601.23128v1,Distribution-informed Efficient Conformal Prediction for Full Ranking,2026,cs.LG,,,
2601.22834v1,Asymmetric conformal prediction with penalized kernel sum-of-squares,2026,math.ST,,,
2601.22298v1,Conformal Prediction for Generative Models via Adaptive Cluster-Based Density Estimation,2026,cs.LG,,,
2601.21455v2,Questioning the Coverage-Length Metric in Conformal Prediction: When Shorter Intervals Are Not Better,2026,stat.ML,,,
2601.18997v1,Anatomically-aware conformal prediction for medical image segmentation with random walks,2026,cs.CV,,,
2601.18509v2,Conformal Prediction Algorithms for Time Series Forecasting: Methods and Benchmarking,2026,cs.LG,,,
2601.16636v1,Conformal prediction for full and sparse polynomial chaos expansions,2026,stat.ME,,,
2601.13102v3,Approximate full conformal prediction in an RKHS,2026,stat.ML,,,
2601.16999v1,Uncertainty Quantification for Named Entity Recognition via Full-Sequence and Subsequence Conformal Prediction,2026,cs.CL,,,
2601.07201v1,CalPro: Prior-Aware Evidential--Conformal Prediction with Structure-Aware Guarantees for Protein Structures,2026,cs.LG,,,
2601.02998v2,Multi-Distribution Robust Conformal Prediction,2026,cs.LG,,,
2601.02769v1,Fast Conformal Prediction using Conditional Interquantile Intervals,2026,stat.ML,,,
2601.01692v1,Enhanced Multi-model Online Conformal Prediction,2026,cs.LG,,,
2601.01223v1,Adaptive Conformal Prediction via Bayesian Uncertainty Weighting for Hierarchical Healthcare Data,2026,cs.LG,,,
2601.00908v1,Conformal Prediction Under Distribution Shift: A COVID-19 Natural Experiment,2026,cs.LG,,,
2512.24139v5,Colorful Pinball: Density-Weighted Quantile Regression for Conditional Guarantee of Conformal Prediction,2025,cs.LG,,,
2512.23602v1,Distribution-Free Process Monitoring with Conformal Prediction,2025,cs.LG,,,
2512.23308v1,Conformal Prediction = Bayes?,2025,math.ST,,,
2512.22682v1,Conformal Prediction Sets for Next-Token Prediction in Large Language Models: Balancing Coverage Guarantees with Set Efficiency,2025,cs.CL,,,
2512.17048v1,Another Fit Bites the Dust: Conformal Prediction as a Calibration Standard for Machine Learning in High-Energy Physics,2025,hep-ph,,,
2512.15383v1,Interpretable Multivariate Conformal Prediction with Fast Transductive Standardization,2025,stat.ME,,,
2512.14221v1,Weighted Conformal Prediction Provides Adaptive and Valid Mask-Conditional Coverage for General Missing Data Mechanisms,2025,stat.ML,,,
2512.11779v2,Conditional Coverage Diagnostics for Conformal Prediction,2025,stat.ML,,,
2512.10738v2,Conformal Prediction-Based MPC for Stochastic Linear Systems,2025,eess.SY,,,
2512.14727v1,A Critical Perspective on Finite Sample Conformal Prediction Theory in Medical Applications,2025,cs.LG,,,
2512.07770v2,Distribution-informed Online Conformal Prediction,2025,stat.ML,,,
2512.04016v1,TARA Test-by-Adaptive-Ranks for Quantum Anomaly Detection with Conformal Prediction Guarantees,2025,quant-ph,,,
2512.03738v1,Weighted Conformal Prediction for Survival Analysis under Covariate Shift,2025,stat.ME,,,
2512.03298v2,Adaptive Regime-Switching Forecasts with Distribution-Free Uncertainty: Deep Switching State-Space Models Meet Conformal Prediction,2025,cs.LG,,,
2512.02893v2,Statistical-Symbolic Verification of Perception-Based Autonomous Systems using State-Dependent Conformal Prediction,2025,eess.SY,,,
2512.00453v1,Sample-Efficient Expert Query Control in Active Imitation Learning via Conformal Prediction,2025,cs.RO,,,
2511.19359v2,Enhancing Conformal Prediction via Class Similarity,2025,cs.LG,,,
2511.18562v2,Ensuring Calibration Robustness in Split Conformal Prediction Under Adversarial Attacks,2025,stat.ML,,,
2511.18225v2,Adaptive Conformal Prediction for Quantum Machine Learning,2025,cs.LG,,,
2511.18170v1,Time-aware Motion Planning in Dynamic Environments with Conformal Prediction,2025,cs.RO,,,
2511.18141v2,Conformal Prediction for Compositional Data,2025,stat.ML,,,
2511.17908v2,Principled Context Engineering for RAG: Statistical Guarantees via Conformal Prediction,2025,cs.CL,,,
2511.16924v1,CBMA: Improving conformal prediction through Bayesian model averaging,2025,math.ST,,,
2511.16845v1,Provably Minimum-Length Conformal Prediction Sets for Ordinal Classification,2025,cs.LG,,,
2511.15838v1,Attention-Based Feature Online Conformal Prediction for Time Series,2025,cs.LG,,,
2511.15406v1,Controlling False Positives in Image Segmentation via Conformal Prediction,2025,cs.CV,,,
2511.15146v1,Beyond Uncertainty Sets: Leveraging Optimal Transport to Extend Conformal Predictive Distribution to Multivariate Settings,2025,stat.ML,,,
2511.13533v2,Minimax Multi-Target Conformal Prediction with Applications to Imaging Inverse Problems,2025,cs.CV,,,
2511.12065v1,Aggregating Conformal Prediction Sets via α-Allocation,2025,stat.ME,,,
2511.11567v1,Who Moved My Distribution? Conformal Prediction for Interactive Multi-Agent Systems,2025,eess.SY,,,
2511.11472v2,Quantifying and Improving Adaptivity in Conformal Prediction through Input Transformations,2025,cs.LG,,,
2511.10586v2,Safe Planning in Interactive Environments via Iterative Policy Updates and Adversarially Robust Conformal Prediction,2025,eess.SY,,,
2511.08867v2,Conformal Prediction for Multi-Source Detection on a Network,2025,cs.SI,,,
2511.07899v2,Statistically Assuring Safety of Control Systems using Ensembles of Safety Filters and Conformal Prediction,2025,cs.LG,,,
2511.09564v1,Mamba-driven multi-perspective structural understanding for molecular ground-state conformation prediction,2025,physics.chem-ph,,,
2511.06223v1,Learning-Based Robust Bayesian Persuasion with Conformal Prediction Guarantees,2025,eess.SY,,,
2511.05610v2,Conformal Prediction-Driven Adaptive Sampling for Digital Water Twins,2025,cs.LG,,,
2511.02103v4,Efficient Quantification of Time-Series Prediction Error: Optimal Selection Conformal Prediction,2025,math.OC,,,
2510.26930v1,The Interplay between Bayesian Inference and Conformal Prediction,2025,stat.ME,,,
2510.26026v1,Conformal Prediction Beyond the Horizon: Distribution-Free Inference for Policy Evaluation,2025,stat.ML,,,
2510.16376v1,Conformal Prediction in The Loop: A Feedback-Based Uncertainty Model for Trajectory Optimization,2025,math.OC,,,
2510.16166v1,Extending Prediction-Powered Inference through Conformal Prediction,2025,stat.ME,,,
2510.15780v2,Enhanced Renewable Energy Forecasting using Context-Aware Conformal Prediction,2025,stat.AP,,,
2510.15233v1,Adaptive Individual Uncertainty under Out-Of-Distribution Shift with Expert-Routed Conformal Prediction,2025,cs.LG,,,
2510.13297v2,Federated Conditional Conformal Prediction via Generative Models,2025,cs.LG,,,
2510.10324v2,On some practical challenges of conformal prediction,2025,stat.ML,,,
2510.08724v2,Counterfactually Fair Conformal Prediction,2025,cs.LG,,,
2510.07725v1,Probabilistically-Safe Bipedal Navigation over Uncertain Terrain via Conformal Prediction and Contraction Analysis,2025,cs.RO,,,
2510.05566v2,Domain-Shift-Aware Conformal Prediction for Large Language Models,2025,stat.ML,,,
2510.05060v3,ResCP: Reservoir Conformal Prediction for Time Series Forecasting,2025,cs.LG,,,
2510.04406v2,Decomposition-Based Modular Conformal Prediction for Two-Stage Modeling,2025,stat.ML,,,
2510.04318v2,Adaptive Coverage Policies in Conformal Prediction,2025,stat.ML,,,
2510.04053v1,A Conformal Prediction-Based Chance-Constrained Programming Approach for 24/7 Carbon-Free Data Center Operation Scheduling,2025,eess.SY,,,
2510.02809v2,Relevance-Aware Thresholding in Online Conformal Prediction for Time Series,2025,cs.LG,,,
2509.25692v1,Annotation-Efficient Active Test-Time Adaptation with Conformal Prediction,2025,cs.LG,,,
2509.25473v3,Conformal Prediction for Signal Temporal Logic Inference,2025,cs.LG,,,
2509.25444v1,Neural Optimal Transport Meets Multivariate Conformal Prediction,2025,stat.ML,,,
2509.25295v1,"Calibrated Counterfactual Conformal Fairness ($C^3F$): Post-hoc, Shift-Aware Coverage Parity via Conformal Prediction and Counterfactual Regularization",2025,stat.ME,,,
2509.24100v2,SpeedCP: Fast Kernel-based Conditional Conformal Prediction,2025,stat.ME,,,
2509.24095v2,Singleton-Optimized Conformal Prediction,2025,stat.ML,,,
2509.22907v2,FedCF: Fair Federated Conformal Prediction,2025,cs.LG,,,
2509.22529v1,Smoothing-Based Conformal Prediction for Balancing Efficiency and Interpretability,2025,stat.ML,,,
2509.22240v2,COMPASS: Robust Feature Conformal Prediction for Medical Segmentation Metrics,2025,eess.IV,,,
2509.21955v1,Learnable Conformal Prediction with Context-Aware Nonconformity Functions for Robotic Planning and Perception,2025,cs.RO,,,
2509.21479v2,Filtering with Confidence: When Data Augmentation Meets Conformal Prediction,2025,cs.LG,,,
2509.18658v1,Analyzing Uncertainty of LLM-as-a-Judge: Interval Evaluations with Conformal Prediction,2025,cs.CL,,,
2509.15148v3,ATTS: Asynchronous Test-Time Scaling via Conformal Prediction,2025,cs.CL,,,
2509.15120v2,Efficient Conformal Prediction for Regression Models under Label Noise,2025,cs.LG,,,
2509.13717v1,A Conformal Prediction Framework for Uncertainty Quantification in Physics-Informed Neural Networks,2025,cs.LG,,,
2509.13130v3,Fuzzy Prediction Sets: Conformal Prediction with E-values,2025,math.ST,,,
2509.12573v3,No Need for Learning to Defer? A Training Free Deferral Framework to Multiple Experts through Conformal Prediction,2025,cs.LG,,,
2509.10321v1,Conformal prediction without knowledge of labeled calibration data,2025,stat.ME,,,
2509.05826v2,Performance of Conformal Prediction in Capturing Aleatoric Uncertainty,2025,cs.LG,,,
2509.04631v2,Fundamental bounds on efficiency-confidence trade-off for transductive conformal prediction,2025,cs.LG,,,
2509.04623v1,Split Conformal Prediction in the Function Space with Neural Operators,2025,cs.LG,,,
2509.02844v4,Conformal Prediction for Time-series Forecasting with Change Points,2025,cs.LG,,,
2509.01840v3,Optimizing In-Context Learning for Efficient Full Conformal Prediction,2025,cs.LG,,,
2509.01338v1,Conformal Predictive Monitoring for Multi-Modal Scenarios,2025,cs.AI,,,
2509.00461v2,TECP: Token-Entropy Conformal Prediction for LLMs,2025,cs.CL,,,
2508.14266v1,Effect of Data Augmentation on Conformal Prediction for Diabetic Retinopathy,2025,cs.CV,,,
2508.13362v3,Optimization-based Online Conformal Prediction for Multi-step Forecasting,2025,cs.LG,,,
2508.11345v1,Conformal Prediction Meets Long-tail Classification,2025,cs.LG,,,
2508.11025v3,Zono-Conformal Prediction: Zonotope-Based Uncertainty Quantification for Regression and Classification Tasks,2025,cs.LG,,,
2508.10284v1,Uncertainty-Aware Prediction of Parkinson's Disease Medication Needs: A Two-Stage Conformal Prediction Approach,2025,cs.LG,,,
2508.14078v1,Out-of-Sample Hydrocarbon Production Forecasting: Time Series Machine Learning using Productivity Index-Driven Features and Inductive Conformal Prediction,2025,cs.LG,,,
2508.06885v1,Conformal Prediction and Trustworthy AI,2025,cs.LG,,,
2508.05272v1,Conditional validity and a fast approximation formula of full conformal prediction sets,2025,math.ST,,,
2508.01418v1,Bayesian Conformal Prediction via the Bayesian Bootstrap,2025,stat.ME,,,
2507.20941v4,Multivariate Standardized Residuals for Conformal Prediction,2025,stat.ML,,,
2507.20272v1,Approximating Full Conformal Prediction for Neural Network Regression with Gauss-Newton Influence,2025,cs.LG,,,
2507.15803v1,ConformalSAM: Unlocking the Potential of Foundational Segmentation Models in Semi-Supervised Semantic Segmentation with Conformal Prediction,2025,cs.CV,,,
2507.15022v1,CPED-NCBFs: A Conformal Prediction for Expert Demonstration-based Neural Control Barrier Functions,2025,cs.RO,,,
2507.11920v2,"Heterogeneous Predictor-based Risk-Aware Planning with Conformal Prediction in Dense, Uncertain Environments",2025,cs.RO,,,
2507.12497v1,Differentially Private Conformal Prediction via Quantile Binary Search,2025,stat.ME,,,
